Species,assm_type,BUSCO_version,complete,single,duplicated,fragmented,missing,n
C. costata,hybrid (Nanopore + Illumina),v4.0.6,99,98.2,0.8,0.2,0.8,3285
D. ambigua,hybrid (Nanopore + Illumina),v4.0.6,99,98.3,0.7,0.3,0.7,3285
D. americana,hybrid (Nanopore + Illumina),v4.0.6,99.3,98.7,0.6,0.2,0.5,3285
D. ananassae,hybrid (Nanopore + Illumina),v4.0.6,99.1,98.8,0.3,0.2,0.7,3285
D. arawakana,hybrid (Nanopore + Illumina),v4.0.6,99,97.9,1.1,0.2,0.8,3285
D. biarmipes,hybrid (Nanopore + Illumina),v4.0.6,99.3,98.9,0.4,0.1,0.6,3285
D. bipectinata,hybrid (Nanopore + Illumina),v4.0.6,99.3,98.6,0.7,0.1,0.6,3285
D. bocqueti,hybrid (Nanopore + Illumina),v4.0.6,99.1,98.3,0.8,0.2,0.7,3285
D. cardini,hybrid (Nanopore + Illumina),v4.0.6,99,98.3,0.7,0.2,0.8,3285
D. carrolli,hybrid (Nanopore + Illumina),v4.0.6,98.5,97.9,0.6,0.2,1.3,3285
D. dunni,hybrid (Nanopore + Illumina),v4.0.6,99.2,98.7,0.5,0.2,0.6,3285
D. elegans,hybrid (Nanopore + Illumina),v4.0.6,99.3,99.1,0.2,0.1,0.6,3285
D. equinoxialis,Nanopore,v4.1.4,98.5,97.3,1.2,0.5,1,3285
D. ercepeae,hybrid (Nanopore + Illumina),v4.0.6,99.3,98.7,0.6,0.1,0.6,3285
D. erecta,hybrid (Nanopore + Illumina),v4.0.6,99.4,99.2,0.2,0.1,0.5,3285
D. eugracilis,hybrid (Nanopore + Illumina),v4.0.6,99.4,99,0.4,0.2,0.4,3285
D. littoralis,hybrid (Nanopore + Illumina),v4.0.6,99.3,98.8,0.5,0.2,0.5,3285
D. ficusphila,hybrid (Nanopore + Illumina),v4.0.6,99.2,98.9,0.3,0.3,0.5,3285
D. funebris,Nanopore,v4.0.6,98.7,98.3,0.4,0.2,1.1,3285
D. fuyamai,hybrid (Nanopore + Illumina),v4.0.6,99.3,98.4,0.9,0.1,0.6,3285
D. grimshawi,hybrid (Nanopore + Illumina),v4.0.6,99.1,98.5,0.6,0.3,0.6,3285
D. immigrans,hybrid (Nanopore + Illumina),v4.0.6,99.3,98.4,0.9,0.2,0.5,3285
D. immigrans kari17,hybrid (Nanopore + Illumina),v4.0.6,98.8,98,0.8,0.2,1,3285
D. insularis,hybrid (Nanopore + Illumina),v4.0.6,99,98.4,0.6,0.2,0.8,3285
D. jambulina,hybrid (Nanopore + Illumina),v4.0.6,99.3,98.7,0.6,0.2,0.5,3285
D. kikkawai,hybrid (Nanopore + Illumina),v4.0.6,99.6,98.8,0.8,0.1,0.3,3285
D. kurseongensis,hybrid (Nanopore + Illumina),v4.0.6,99,98.4,0.6,0.3,0.7,3285
D. m. malerkotliana,hybrid (Nanopore + Illumina),v4.0.6,99.3,98.7,0.6,0.1,0.6,3285
D. m. pallens,hybrid (Nanopore + Illumina),v4.0.6,99,98,1,0.3,0.7,3285
D. mauritiana,hybrid (Nanopore + Illumina),v4.0.6,99.7,99.3,0.4,0.1,0.2,3285
D. melanogaster,hybrid (Nanopore + Illumina),v4.0.6,99.5,99.1,0.4,0.1,0.4,3285
D. mojavensis,hybrid (Nanopore + Illumina),v4.0.6,99.2,98.8,0.4,0.3,0.5,3285
D. murphyi,hybrid (Nanopore + Illumina),v4.0.6,99.2,98.7,0.5,0.3,0.5,3285
D. mush-saotome,Nanopore,v4.0.6,98.1,97.7,0.4,0.7,1.2,3285
D. nebulosa,hybrid (Nanopore + Illumina),v4.0.6,99.3,98.7,0.6,0.1,0.6,3285
D. neocordata,hybrid (Nanopore + Illumina),v4.0.6,99.1,98.3,0.8,0.2,0.7,3285
D. obscura,hybrid (Nanopore + Illumina),v4.0.6,99.2,98.4,0.8,0.3,0.5,3285
D. oshimai,hybrid (Nanopore + Illumina),v4.0.6,98.9,98.1,0.8,0.5,0.6,3285
D. parabipectinata,hybrid (Nanopore + Illumina),v4.0.6,99.2,98.6,0.6,0.2,0.6,3285
D. paulistorum L06,hybrid (Nanopore + Illumina),v4.0.6,99.1,98.1,1,0.2,0.7,3285
D. paulistorum L12,hybrid (Nanopore + Illumina),v4.0.6,99.3,98.4,0.9,0.2,0.5,3285
D. persimilis,hybrid (Nanopore + Illumina),v4.0.6,99.2,98.3,0.9,0.3,0.5,3285
D. prosaltans,hybrid (Nanopore + Illumina),v4.0.6,99.4,98.8,0.6,0.1,0.5,3285
D. pruinosa,hybrid (Nanopore + Illumina),v4.0.6,98.8,98.2,0.6,0.3,0.9,3285
