species,strain,num_callable_lr,snp_het_lr,snp_hom_lr,indel_het_lr,indel_hom_lr,num_callable_sr,snp_het_sr,snp_hom_sr,indel_het_sr,indel_hom_sr
Chymomyza costata,Sapporo,186541140,721389,11696,68366,8587,241911526,1359157,28450,127550,6254
Drosophila ambigua,R42,87600157,474981,1143,43452,1524,119222146,1096017,5392,130204,2397
Drosophila americana,15010-0951.00,106466074,178363,741,15000,365,125728906,370398,2533,32689,927
Drosophila ananassae,14024-0371.13,68439946,1534,888,83,139,112067782,14263,1105,1214,57
Drosophila arawakana,15182-2261.03,112852229,349788,5388,29233,1934,102037313,674088,3702,40660,847
Drosophila biarmipes,14023-0361.10,60418011,478526,70829,29747,6700,126125978,36444,12715,4800,1017
Drosophila bipectinata,14024-0381.04,80128868,78234,720,4060,406,119421125,232072,2613,12193,318
Drosophila bocqueti,YAK3_mont-66,85471250,584158,1157,42139,1248,132218404,1899600,13845,181462,3078
Drosophila cardini,15181-2181.03,97238029,181863,2590,15602,1023,110650169,313378,3627,25610,973
Drosophila carrolli,KB866,92958406,336079,2589,23645,1780,107311985,397905,2570,26244,905
Drosophila dunni,15182-2291.00,96380954,157028,2640,11938,757,110193660,260081,3181,16381,538
Drosophila elegans,14027-0461.03,102435447,9180,711,615,85,124755980,159793,951,6626,66
Drosophila equinoxialis,14030-0741.00,100025637,170296,2806,17530,1624,NA,NA,NA,NA,NA
Drosophila ercepeae,14024-0432.00,87832586,370,706384,42,67343,116608618,50444,30944,10273,2148
Drosophila erecta,14021-0224.01,57174802,831,308,18,44,106733873,11609,1332,1118,54
Drosophila eugracilis,14026-0451.02,48167149,369353,316,12627,80,89977645,632637,6702,57243,2017
Drosophila ficusphila,14025-0441.05,105620364,26647,868,1826,164,4835534,3596,72,138,1
Drosophila funebris,fst01,103345637,629,619,48,289,NA,NA,NA,NA,NA
Drosophila fuyamai,KB-1217,84864674,151340,697,9832,426,128264214,238176,2247,18948,704
Drosophila grimshawi,15287-2541.00,107185860,321909,543,29148,1071,74443337,159216,13904,14014,86
Drosophila immigrans (12),15111.1731.12,119741696,216889,2853,20547,1699,124401664,270159,3565,27435,831
Drosophila immigrans (kari17),kari17,103031800,492244,4360,46934,53199,117972076,294648,1107768,35133,300
Drosophila insularis,jp01i,107539910,13732,1139,1414,280,140821574,71959,13078,8236,422
Drosophila jambulina,14028-0671.01,98133659,2241,27697,160,4135,132532634,332377,1304,26297,391
Drosophila kikkawai,14028-0561.14,95872179,1567,817,95,225,117023052,2490,2930,1039,118
Drosophila kurseongensis,SaPa58,89143845,339716,1897,22600,1293,102952391,440052,6624,25618,723
Drosophila littoralis,Kilpisjärvi 1,95902845,258197,1189,17336,675,133344012,360241,3235,38386,1425
Drosophila m. malerkotliana,mal0-isoC,82010985,21275,2724,1431,468,31698895,32551,587,1849,66
Drosophila m. pallens,palQ-isoG,91237823,227088,661,16651,420,112555632,372173,2607,25690,727
Drosophila mauritiana,14021-0241.01,58634038,10131,232,459,44,105769377,32779,1337,2594,84
Drosophila melanogaster,BDGP ISO-1,75587105,265,144,14,51,105543079,1544,409,1028,32
Drosophila mojavensis,15081-1352.22,63312556,12932,384,604,86,123639405,39822,1614,7486,232
Drosophila murphyi,DKPHETFM01,80303326,292154,24539,10461,3847,118620863,994934,8031,124601,2138
Drosophila nebulosa,14030-0761.01,107004089,148840,3060,16883,1703,126234299,233127,5730,24559,1038
Drosophila neocordata,14041-0831.00,112150176,2902,4528,241,650,103861666,30634,2532,3309,204
Drosophila obscura,BZ-5,49613088,392546,1651,19951,1863,119928681,842188,7713,123328,3545
Drosophila oshimai,MT-04,94277082,735680,5022,57789,7767,114265012,1338308,8233,92348,2503
Drosophila parabipectinata,par2-isoB,92785723,1690,1376,107,251,102638315,16197,898,1119,102
Drosophila paulistorum (L06),L06,125219788,5631,684,473,395,165074854,20988,1489,3947,232
Drosophila paulistorum (L12),L12,89473668,62008,4244,6434,138236,133434617,139022,1599194,15651,1055
Drosophila persimilis,14011-0111.01,54894098,58985,915,2882,149,115903820,155942,4312,23288,541
Drosophila prosaltans,14045-0901.02,102005759,22246,1149265,2074,102494,119770589,64084,21201,17603,1770
Drosophila pruinosa,iso-A1 l-9,86612911,24914,47934,1797,6720,111386619,289556,1461,32991,264
Drosophila p. nigrens,VT04-31 Hanoi,82887575,293773,4993,19804,2613,91928374,454439,2858,33516,1172
Drosophila p. pseudoananassae,Wau 125,87072508,173833,2199,12131,667,110955155,318189,1930,21357,22
Drosophila pseudoobscura,14011-0121.94,56736816,3869,460,146,68,115552692,23012,2658,3908,157
