Id,Label
69966at7147,69966at7147
56034at7147,56034at7147
73774at7147,73774at7147
13402at7147,13402at7147
59872at7147,59872at7147
53492at7147,53492at7147
47953at7147,47953at7147
62645at7147,62645at7147
18389at7147,18389at7147
13429at7147,13429at7147
34988at7147,34988at7147
34220at7147,34220at7147
56815at7147,56815at7147
34553at7147,34553at7147
61812at7147,61812at7147
36434at7147,36434at7147
11078at7147,11078at7147
67924at7147,67924at7147
35619at7147,35619at7147
32865at7147,32865at7147
22404at7147,22404at7147
13499at7147,13499at7147
3869at7147,3869at7147
36088at7147,36088at7147
22012at7147,22012at7147
22326at7147,22326at7147
42359at7147,42359at7147
44288at7147,44288at7147
27655at7147,27655at7147
40820at7147,40820at7147
3707at7147,3707at7147
28226at7147,28226at7147
30510at7147,30510at7147
29440at7147,29440at7147
57388at7147,57388at7147
1190at7147,1190at7147
11183at7147,11183at7147
13719at7147,13719at7147
62890at7147,62890at7147
5986at7147,5986at7147
49968at7147,49968at7147
56981at7147,56981at7147
40875at7147,40875at7147
27770at7147,27770at7147
39790at7147,39790at7147
13511at7147,13511at7147
26748at7147,26748at7147
57419at7147,57419at7147
58016at7147,58016at7147
35419at7147,35419at7147
48067at7147,48067at7147
39504at7147,39504at7147
30441at7147,30441at7147
52088at7147,52088at7147
2789at7147,2789at7147
13267at7147,13267at7147
19377at7147,19377at7147
30711at7147,30711at7147
17523at7147,17523at7147
5553at7147,5553at7147
6635at7147,6635at7147
23816at7147,23816at7147
34516at7147,34516at7147
24775at7147,24775at7147
56091at7147,56091at7147
27575at7147,27575at7147
63685at7147,63685at7147
38422at7147,38422at7147
59649at7147,59649at7147
17175at7147,17175at7147
13969at7147,13969at7147
28361at7147,28361at7147
17011at7147,17011at7147
16972at7147,16972at7147
38548at7147,38548at7147
70753at7147,70753at7147
24955at7147,24955at7147
36153at7147,36153at7147
8492at7147,8492at7147
27070at7147,27070at7147
13926at7147,13926at7147
44530at7147,44530at7147
16484at7147,16484at7147
1297at7147,1297at7147
22386at7147,22386at7147
328at7147,328at7147
42281at7147,42281at7147
17803at7147,17803at7147
11623at7147,11623at7147
11599at7147,11599at7147
1224at7147,1224at7147
16536at7147,16536at7147
32144at7147,32144at7147
36721at7147,36721at7147
23557at7147,23557at7147
47762at7147,47762at7147
44177at7147,44177at7147
49220at7147,49220at7147
27701at7147,27701at7147
17194at7147,17194at7147
3551at7147,3551at7147
48810at7147,48810at7147
34699at7147,34699at7147
20186at7147,20186at7147
72619at7147,72619at7147
50276at7147,50276at7147
20721at7147,20721at7147
31832at7147,31832at7147
22531at7147,22531at7147
73112at7147,73112at7147
26835at7147,26835at7147
27841at7147,27841at7147
40114at7147,40114at7147
4270at7147,4270at7147
2437at7147,2437at7147
25199at7147,25199at7147
15942at7147,15942at7147
75595at7147,75595at7147
35581at7147,35581at7147
57821at7147,57821at7147
16499at7147,16499at7147
64439at7147,64439at7147
