coverage,genome_size,contig_name,contig_rank,contig_size,contig_prop,contig_cumsum,contig_cumsum_prop
5x,180779525,scaffold_26,1,1547814,0.00856189,1547814,0.00856189
5x,180779525,contig_53,1,1524818,0.00843468,3072632,0.0169966
5x,180779525,contig_607,1,1422414,0.00786823,4495046,0.0248648
5x,180779525,scaffold_474,1,1357693,0.00751021,5852739,0.032375
5x,180779525,contig_570,1,1256974,0.00695308,7109713,0.0393281
5x,180779525,contig_8,1,1234428,0.00682836,8344141,0.0461564
5x,180779525,scaffold_18,1,1220578,0.00675175,9564719,0.0529082
5x,180779525,contig_991,1,1195341,0.00661215,10760060,0.0595203
5x,180779525,contig_397,1,1158082,0.00640605,11918142,0.0659264
5x,180779525,contig_52,1,1103988,0.00610682,13022130,0.0720332
5x,180779525,contig_720,1,1102829,0.00610041,14124959,0.0781336
5x,180779525,contig_857,1,1092949,0.00604576,15217908,0.0841794
5x,180779525,contig_401,1,1082586,0.00598843,16300494,0.0901678
5x,180779525,contig_462,1,1071185,0.00592537,17371679,0.0960932
5x,180779525,contig_990,1,1056914,0.00584643,18428593,0.10194
5x,180779525,contig_333,1,1053590,0.00582804,19482183,0.107768
5x,180779525,contig_27,1,1035277,0.00572674,20517460,0.113494
5x,180779525,contig_778,1,1031188,0.00570412,21548648,0.119198
5x,180779525,contig_34,1,991849,0.00548651,22540497,0.124685
5x,180779525,contig_49,1,969100,0.00536067,23509597,0.130046
5x,180779525,contig_263,1,963776,0.00533122,24473373,0.135377
5x,180779525,contig_1038,1,939164,0.00519508,25412537,0.140572
5x,180779525,contig_212,1,938407,0.00519089,26350944,0.145763
5x,180779525,contig_549,1,888825,0.00491662,27239769,0.15068
5x,180779525,contig_736,1,886294,0.00490262,28126063,0.155582
5x,180779525,contig_439,1,885933,0.00490063,29011996,0.160483
5x,180779525,contig_756,1,879264,0.00486374,29891260,0.165346
5x,180779525,contig_507,1,878617,0.00486016,30769877,0.170207
5x,180779525,contig_675,1,877445,0.00485367,31647322,0.17506
5x,180779525,contig_222,1,867064,0.00479625,32514386,0.179857
5x,180779525,contig_794,1,852247,0.00471429,33366633,0.184571
5x,180779525,contig_382,1,843710,0.00466707,34210343,0.189238
5x,180779525,contig_101,1,834302,0.00461502,35044645,0.193853
