Source,Target,Type,Weight
69966at7147,19314at7147,Undirected,1
69966at7147,71329at7147,Undirected,1
69966at7147,31785at7147,Undirected,1
69966at7147,21668at7147,Undirected,4
69966at7147,31470at7147,Undirected,91
69966at7147,52725at7147,Undirected,1
69966at7147,39249at7147,Undirected,1
69966at7147,16005at7147,Undirected,98
56034at7147,35043at7147,Undirected,3
56034at7147,10872at7147,Undirected,1
56034at7147,46531at7147,Undirected,4
56034at7147,71529at7147,Undirected,1
56034at7147,68787at7147,Undirected,17
56034at7147,33478at7147,Undirected,97
56034at7147,73978at7147,Undirected,1
56034at7147,63687at7147,Undirected,6
56034at7147,65216at7147,Undirected,1
56034at7147,50147at7147,Undirected,1
56034at7147,2361at7147,Undirected,3
56034at7147,22997at7147,Undirected,21
56034at7147,60173at7147,Undirected,3
56034at7147,55888at7147,Undirected,13
56034at7147,47457at7147,Undirected,1
56034at7147,40629at7147,Undirected,9
56034at7147,33889at7147,Undirected,5
56034at7147,31948at7147,Undirected,7
56034at7147,25991at7147,Undirected,2
73774at7147,4293at7147,Undirected,1
73774at7147,21742at7147,Undirected,92
73774at7147,50271at7147,Undirected,1
73774at7147,4541at7147,Undirected,2
73774at7147,72009at7147,Undirected,12
73774at7147,43200at7147,Undirected,78
13402at7147,2104at7147,Undirected,2
13402at7147,61593at7147,Undirected,9
13402at7147,36767at7147,Undirected,1
13402at7147,13511at7147,Undirected,1
13402at7147,46219at7147,Undirected,1
13402at7147,25955at7147,Undirected,82
13402at7147,14881at7147,Undirected,2
13402at7147,21803at7147,Undirected,8
13402at7147,23816at7147,Undirected,1
13402at7147,62155at7147,Undirected,1
13402at7147,2048at7147,Undirected,58
13402at7147,11487at7147,Undirected,2
59872at7147,50356at7147,Undirected,2
59872at7147,1190at7147,Undirected,97
59872at7147,10392at7147,Undirected,76
59872at7147,25591at7147,Undirected,6
59872at7147,976at7147,Undirected,2
59872at7147,22962at7147,Undirected,15
53492at7147,10937at7147,Undirected,14
53492at7147,44216at7147,Undirected,61
53492at7147,19831at7147,Undirected,1
53492at7147,29339at7147,Undirected,4
53492at7147,2889at7147,Undirected,9
53492at7147,37759at7147,Undirected,4
53492at7147,1858at7147,Undirected,93
47953at7147,56952at7147,Undirected,55
47953at7147,62640at7147,Undirected,24
47953at7147,56071at7147,Undirected,9
47953at7147,42518at7147,Undirected,1
47953at7147,42702at7147,Undirected,1
47953at7147,12102at7147,Undirected,17
47953at7147,49777at7147,Undirected,13
47953at7147,15838at7147,Undirected,13
47953at7147,610at7147,Undirected,4
47953at7147,37074at7147,Undirected,1
47953at7147,29711at7147,Undirected,25
47953at7147,61573at7147,Undirected,1
47953at7147,23111at7147,Undirected,28
62645at7147,7340at7147,Undirected,12
62645at7147,59417at7147,Undirected,4
62645at7147,75595at7147,Undirected,43
62645at7147,13510at7147,Undirected,99
62645at7147,29931at7147,Undirected,40
18389at7147,40951at7147,Undirected,2
18389at7147,15868at7147,Undirected,73
18389at7147,47411at7147,Undirected,2
18389at7147,14506at7147,Undirected,2
18389at7147,21716at7147,Undirected,1
18389at7147,58016at7147,Undirected,1
18389at7147,3647at7147,Undirected,13
18389at7147,7181at7147,Undirected,1
18389at7147,16029at7147,Undirected,17
18389at7147,33183at7147,Undirected,3
18389at7147,31118at7147,Undirected,3
18389at7147,13511at7147,Undirected,23
18389at7147,66044at7147,Undirected,12
18389at7147,15788at7147,Undirected,30
18389at7147,8929at7147,Undirected,1
13429at7147,38466at7147,Undirected,4
13429at7147,39790at7147,Undirected,1
13429at7147,47979at7147,Undirected,3
13429at7147,46700at7147,Undirected,79
13429at7147,25949at7147,Undirected,1
13429at7147,41062at7147,Undirected,6
13429at7147,41252at7147,Undirected,75
13429at7147,66653at7147,Undirected,1
13429at7147,17657at7147,Undirected,1
13429at7147,38937at7147,Undirected,9
34988at7147,26459at7147,Undirected,10
34988at7147,61689at7147,Undirected,4
34988at7147,28361at7147,Undirected,1
34988at7147,3077at7147,Undirected,2
34988at7147,36818at7147,Undirected,82
34988at7147,23623at7147,Undirected,89
34220at7147,62640at7147,Undirected,12
34220at7147,39601at7147,Undirected,87
34220at7147,58360at7147,Undirected,13
34220at7147,29417at7147,Undirected,44
34220at7147,9084at7147,Undirected,42
34220at7147,65531at7147,Undirected,2
56815at7147,61165at7147,Undirected,4
56815at7147,35396at7147,Undirected,22
56815at7147,45724at7147,Undirected,1
56815at7147,304at7147,Undirected,1
56815at7147,8505at7147,Undirected,1
56815at7147,9202at7147,Undirected,1
56815at7147,43242at7147,Undirected,1
56815at7147,71852at7147,Undirected,13
56815at7147,15650at7147,Undirected,1
56815at7147,25000at7147,Undirected,1
56815at7147,12961at7147,Undirected,11
56815at7147,37488at7147,Undirected,1
56815at7147,17781at7147,Undirected,1
56815at7147,22343at7147,Undirected,5
56815at7147,36153at7147,Undirected,80
56815at7147,38196at7147,Undirected,4
56815at7147,24459at7147,Undirected,4
56815at7147,56844at7147,Undirected,4
56815at7147,18233at7147,Undirected,22
56815at7147,12554at7147,Undirected,1
56815at7147,57893at7147,Undirected,3
56815at7147,70537at7147,Undirected,1
56815at7147,37504at7147,Undirected,1
56815at7147,36511at7147,Undirected,3
56815at7147,36428at7147,Undirected,1
34553at7147,3445at7147,Undirected,2
34553at7147,72116at7147,Undirected,2
34553at7147,13925at7147,Undirected,1
34553at7147,13926at7147,Undirected,94
34553at7147,25282at7147,Undirected,1
34553at7147,44887at7147,Undirected,2
34553at7147,67721at7147,Undirected,60
34553at7147,61996at7147,Undirected,13
34553at7147,72009at7147,Undirected,1
34553at7147,37626at7147,Undirected,1
34553at7147,69589at7147,Undirected,1
34553at7147,56534at7147,Undirected,1
34553at7147,24544at7147,Undirected,9
61812at7147,22067at7147,Undirected,15
61812at7147,33666at7147,Undirected,1
61812at7147,74811at7147,Undirected,1
61812at7147,43455at7147,Undirected,1
61812at7147,13201at7147,Undirected,9
61812at7147,3394at7147,Undirected,3
61812at7147,27420at7147,Undirected,4
61812at7147,3264at7147,Undirected,1
61812at7147,23222at7147,Undirected,1
61812at7147,42702at7147,Undirected,18
61812at7147,6536at7147,Undirected,18
61812at7147,69968at7147,Undirected,1
61812at7147,12102at7147,Undirected,18
61812at7147,19550at7147,Undirected,2
61812at7147,59276at7147,Undirected,34
61812at7147,31424at7147,Undirected,1
61812at7147,61997at7147,Undirected,1
61812at7147,16207at7147,Undirected,1
61812at7147,59777at7147,Undirected,3
61812at7147,20952at7147,Undirected,1
61812at7147,75208at7147,Undirected,4
61812at7147,29100at7147,Undirected,1
61812at7147,68918at7147,Undirected,2
61812at7147,49651at7147,Undirected,1
61812at7147,54625at7147,Undirected,24
61812at7147,56852at7147,Undirected,15
61812at7147,66392at7147,Undirected,11
36434at7147,65284at7147,Undirected,49
36434at7147,42259at7147,Undirected,90
36434at7147,66109at7147,Undirected,2
36434at7147,67985at7147,Undirected,1
36434at7147,58544at7147,Undirected,1
36434at7147,68467at7147,Undirected,4
36434at7147,16654at7147,Undirected,1
36434at7147,19591at7147,Undirected,1
36434at7147,19915at7147,Undirected,37
36434at7147,55248at7147,Undirected,1
36434at7147,61689at7147,Undirected,1
11078at7147,31388at7147,Undirected,1
11078at7147,32539at7147,Undirected,42
11078at7147,28492at7147,Undirected,1
11078at7147,37021at7147,Undirected,36
11078at7147,39206at7147,Undirected,1
11078at7147,4796at7147,Undirected,1
11078at7147,13275at7147,Undirected,1
11078at7147,43149at7147,Undirected,6
11078at7147,29994at7147,Undirected,51
11078at7147,2027at7147,Undirected,50
11078at7147,20993at7147,Undirected,1
11078at7147,74801at7147,Undirected,1
67924at7147,28492at7147,Undirected,13
67924at7147,51210at7147,Undirected,89
67924at7147,19240at7147,Undirected,1
67924at7147,55709at7147,Undirected,2
67924at7147,1962at7147,Undirected,5
67924at7147,49275at7147,Undirected,18
67924at7147,62833at7147,Undirected,1
67924at7147,7416at7147,Undirected,2
67924at7147,20982at7147,Undirected,1
67924at7147,729at7147,Undirected,6
67924at7147,9608at7147,Undirected,41
67924at7147,4986at7147,Undirected,5
35619at7147,49999at7147,Undirected,1
35619at7147,52725at7147,Undirected,1
35619at7147,40328at7147,Undirected,96
35619at7147,17686at7147,Undirected,1
35619at7147,57943at7147,Undirected,2
35619at7147,67439at7147,Undirected,1
35619at7147,75854at7147,Undirected,44
35619at7147,59417at7147,Undirected,1
35619at7147,29073at7147,Undirected,1
35619at7147,60267at7147,Undirected,50
32865at7147,42039at7147,Undirected,84
32865at7147,13948at7147,Undirected,14
32865at7147,43962at7147,Undirected,1
32865at7147,50666at7147,Undirected,2
32865at7147,36088at7147,Undirected,1
32865at7147,59085at7147,Undirected,3
32865at7147,23983at7147,Undirected,88
32865at7147,45343at7147,Undirected,1
22404at7147,32751at7147,Undirected,92
22404at7147,3096at7147,Undirected,6
22404at7147,376at7147,Undirected,89
22404at7147,76356at7147,Undirected,5
22404at7147,42033at7147,Undirected,1
22404at7147,25016at7147,Undirected,1
13499at7147,45641at7147,Undirected,4
13499at7147,56387at7147,Undirected,1
13499at7147,25016at7147,Undirected,2
13499at7147,7355at7147,Undirected,6
13499at7147,10162at7147,Undirected,4
13499at7147,38001at7147,Undirected,15
13499at7147,60975at7147,Undirected,33
13499at7147,2199at7147,Undirected,6
13499at7147,41192at7147,Undirected,9
13499at7147,63078at7147,Undirected,2
13499at7147,65636at7147,Undirected,1
13499at7147,39118at7147,Undirected,1
13499at7147,67323at7147,Undirected,6
13499at7147,30895at7147,Undirected,2
13499at7147,981at7147,Undirected,92
3869at7147,12959at7147,Undirected,1
3869at7147,25544at7147,Undirected,55
3869at7147,34864at7147,Undirected,24
3869at7147,67815at7147,Undirected,1
3869at7147,59422at7147,Undirected,15
3869at7147,60267at7147,Undirected,92
36088at7147,29095at7147,Undirected,3
36088at7147,32865at7147,Undirected,1
36088at7147,40116at7147,Undirected,1
36088at7147,22792at7147,Undirected,31
36088at7147,30551at7147,Undirected,39
36088at7147,56442at7147,Undirected,9
36088at7147,48274at7147,Undirected,3
36088at7147,20777at7147,Undirected,8
36088at7147,23983at7147,Undirected,10
36088at7147,40519at7147,Undirected,1
36088at7147,15798at7147,Undirected,1
36088at7147,5385at7147,Undirected,59
36088at7147,55187at7147,Undirected,2
22012at7147,39282at7147,Undirected,98
