species,genome_size,contig_name,contig_rank,contig_size,contig_prop,contig_cumsum,contig_cumsum_prop
D.melanogaster,143726002,NT_033777.3,1,32079331,0.223198,32079331,0.223198
D.melanogaster,143726002,NT_037436.4,1,28110227,0.195582,60189558,0.41878
D.melanogaster,143726002,NT_033778.4,1,25286936,0.175938,85476494,0.594718
D.melanogaster,143726002,NC_004354.4,1,23542271,0.1638,109018765,0.758518
D.melanogaster,143726002,NT_033779.5,1,23513712,0.163601,132532477,0.922119
D.melanogaster,143726002,NC_024512.1,1,3667352,0.0255163,136199829,0.947635
D.melanogaster,143726002,NC_004353.4,1,1348131,0.00937987,137547960,0.957015
D.melanogaster,143726002,NW_007931083.1,1,88768,0.00061762,137636728,0.957633
D.melanogaster,143726002,NW_007931078.1,1,87365,0.000607858,137724093,0.958241
D.melanogaster,143726002,NW_007931082.1,1,86267,0.000600218,137810360,0.958841
D.melanogaster,143726002,NW_007931121.1,1,76973,0.000535554,137887333,0.959376
D.melanogaster,143726002,NW_007931076.1,1,76224,0.000530342,137963557,0.959907
D.melanogaster,143726002,NW_007931108.1,1,73091,0.000508544,138036648,0.960415
D.melanogaster,143726002,NW_007931109.1,1,66731,0.000464293,138103379,0.96088
D.melanogaster,143726002,NW_007931110.1,1,66439,0.000462262,138169818,0.961342
D.melanogaster,143726002,NW_007931086.1,1,62570,0.000435342,138232388,0.961777
D.melanogaster,143726002,NW_007931092.1,1,57785,0.00040205,138290173,0.962179
D.melanogaster,143726002,NW_001844851.1,1,50625,0.000352233,138340798,0.962531
D.melanogaster,143726002,NW_007931107.1,1,47411,0.000329871,138388209,0.962861
D.melanogaster,143726002,NW_007931089.1,1,46986,0.000326914,138435195,0.963188
D.melanogaster,143726002,NW_007931087.1,1,45120,0.000313931,138480315,0.963502
D.melanogaster,143726002,NW_007931074.1,1,44411,0.000308998,138524726,0.963811
D.melanogaster,143726002,NW_007931119.1,1,44104,0.000306862,138568830,0.964118
D.melanogaster,143726002,NW_007931100.1,1,43383,0.000301845,138612213,0.96442
D.melanogaster,143726002,NW_007931113.1,1,39041,0.000271635,138651254,0.964692
D.melanogaster,143726002,NW_007931090.1,1,37106,0.000258172,138688360,0.96495
D.melanogaster,143726002,NW_007931079.1,1,36913,0.000256829,138725273,0.965207
D.melanogaster,143726002,NW_007931084.1,1,36482,0.00025383,138761755,0.96546
D.melanogaster,143726002,NW_007931112.1,1,34521,0.000240186,138796276,0.965701
D.melanogaster,143726002,NW_007931114.1,1,34359,0.000239059,138830635,0.96594
D.melanogaster,143726002,NW_007931105.1,1,33320,0.00023183,138863955,0.966171
D.melanogaster,143726002,NW_007931111.1,1,33316,0.000231802,138897271,0.966403
D.melanogaster,143726002,NW_007931115.1,1,31460,0.000218889,138928731,0.966622
D.melanogaster,143726002,NW_007931096.1,1,29583,0.000205829,138958314,0.966828
D.melanogaster,143726002,NW_007931094.1,1,28305,0.000196937,138986619,0.967025
D.melanogaster,143726002,NW_001844994.1,1,27456,0.00019103,139014075,0.967216
D.melanogaster,143726002,NW_007931106.1,1,27447,0.000190968,139041522,0.967407
D.melanogaster,143726002,NW_007931098.1,1,26115,0.0001817,139067637,0.967589
D.melanogaster,143726002,NW_001844996.1,1,25840,0.000179787,139093477,0.967768
D.melanogaster,143726002,NW_007931117.1,1,25805,0.000179543,139119282,0.967948
D.melanogaster,143726002,NW_007931095.1,1,25698,0.000178799,139144980,0.968127
D.melanogaster,143726002,NW_007931097.1,1,25560,0.000177838,139170540,0.968305
D.melanogaster,143726002,NW_007931085.1,1,25537,0.000177678,139196077,0.968482
D.melanogaster,143726002,NW_007931103.1,1,24503,0.000170484,139220580,0.968653
D.melanogaster,143726002,NW_007931118.1,1,24380,0.000169628,139244960,0.968822
D.melanogaster,143726002,NW_007931081.1,1,23238,0.000161683,139268198,0.968984
D.melanogaster,143726002,NW_007931088.1,1,22882,0.000159206,139291080,0.969143
D.melanogaster,143726002,NW_007931080.1,1,22604,0.000157271,139313684,0.9693
D.melanogaster,143726002,NW_007931116.1,1,21921,0.000152519,139335605,0.969453
D.melanogaster,143726002,NW_001845012.1,1,21074,0.000146626,139356679,0.9696
D.melanogaster,143726002,NW_007931093.1,1,20763,0.000144462,139377442,0.969744
D.melanogaster,143726002,NW_007931073.1,1,19956,0.000138848,139397398,0.969883
D.melanogaster,143726002,NC_024511.2,1,19524,0.000135842,139416922,0.970019
D.melanogaster,143726002,NW_001844998.1,1,18299,0.000127319,139435221,0.970146
D.melanogaster,143726002,NW_007931091.1,1,16157,0.000112415,139451378,0.970259
D.melanogaster,143726002,NW_001845023.1,1,15522,0.000107997,139466900,0.970367
D.melanogaster,143726002,NW_001844918.1,1,15417,0.000107267,139482317,0.970474
D.melanogaster,143726002,NW_001845024.1,1,15068,0.000104838,139497385,0.970579
D.melanogaster,143726002,NW_001845015.1,1,14983,0.000104247,139512368,0.970683
D.melanogaster,143726002,NW_001845000.1,1,14687,0.000102187,139527055,0.970785
D.melanogaster,143726002,NW_001844930.1,1,14503,0.000100907,139541558,0.970886
D.melanogaster,143726002,NW_001845001.1,1,14199,9.87921e-05,139555757,0.970985
D.melanogaster,143726002,NW_001844935.1,1,14098,9.80894e-05,139569855,0.971083
D.melanogaster,143726002,NW_001844936.1,1,14028,9.76024e-05,139583883,0.97118
D.melanogaster,143726002,NW_001845025.1,1,14006,9.74493e-05,139597889,0.971278
D.melanogaster,143726002,NW_001844937.1,1,13940,9.69901e-05,139611829,0.971375
D.melanogaster,143726002,NW_001844938.1,1,13935,9.69553e-05,139625764,0.971472
D.melanogaster,143726002,NW_001844939.1,1,13906,9.67535e-05,139639670,0.971569
D.melanogaster,143726002,NW_001845026.1,1,13553,9.42975e-05,139653223,0.971663
D.melanogaster,143726002,NW_001844944.1,1,13549,9.42697e-05,139666772,0.971757
D.melanogaster,143726002,NW_001845013.1,1,13501,9.39357e-05,139680273,0.971851
D.melanogaster,143726002,NW_007931099.1,1,13455,9.36156e-05,139693728,0.971945
D.melanogaster,143726002,NW_001844947.1,1,13455,9.36156e-05,139707183,0.972038
D.melanogaster,143726002,NW_001844948.1,1,13416,9.33443e-05,139720599,0.972132
D.melanogaster,143726002,NW_001844949.1,1,13394,9.31912e-05,139733993,0.972225
D.melanogaster,143726002,NW_001844951.1,1,13317,9.26555e-05,139747310,0.972318
D.melanogaster,143726002,NW_001844952.1,1,13256,9.2231e-05,139760566,0.97241
D.melanogaster,143726002,NW_001844954.1,1,13234,9.2078e-05,139773800,0.972502
D.melanogaster,143726002,NW_007931075.1,1,13157,9.15422e-05,139786957,0.972593
D.melanogaster,143726002,NW_001844955.1,1,13108,9.12013e-05,139800065,0.972685
D.melanogaster,143726002,NW_001845014.1,1,13079,9.09995e-05,139813144,0.972776
D.melanogaster,143726002,NW_001845027.1,1,12856,8.9448e-05,139826000,0.972865
D.melanogaster,143726002,NW_001844958.1,1,12848,8.93923e-05,139838848,0.972954
D.melanogaster,143726002,NW_001844959.1,1,12827,8.92462e-05,139851675,0.973044
D.melanogaster,143726002,NW_007931104.1,1,12714,8.846e-05,139864389,0.973132
D.melanogaster,143726002,NW_001845017.1,1,12681,8.82304e-05,139877070,0.97322
D.melanogaster,143726002,NW_001844962.1,1,12654,8.80425e-05,139889724,0.973308
D.melanogaster,143726002,NW_007931101.1,1,12632,8.78895e-05,139902356,0.973396
D.melanogaster,143726002,NW_001844963.1,1,12632,8.78895e-05,139914988,0.973484
D.melanogaster,143726002,NW_001844964.1,1,12536,8.72215e-05,139927524,0.973571
D.melanogaster,143726002,NW_001844966.1,1,12513,8.70615e-05,139940037,0.973658
D.melanogaster,143726002,NW_001845028.1,1,12459,8.66858e-05,139952496,0.973745
D.melanogaster,143726002,NW_001844968.1,1,12424,8.64423e-05,139964920,0.973832
D.melanogaster,143726002,NW_001844967.1,1,12424,8.64423e-05,139977344,0.973918
D.melanogaster,143726002,NW_001844969.1,1,12399,8.62683e-05,139989743,0.974004
D.melanogaster,143726002,NW_001844970.1,1,12368,8.60526e-05,140002111,0.97409
D.melanogaster,143726002,NW_001844971.1,1,12354,8.59552e-05,140014465,0.974176
D.melanogaster,143726002,NW_001844974.1,1,12187,8.47933e-05,140026652,0.974261
D.melanogaster,143726002,NW_001844975.1,1,12148,8.45219e-05,140038800,0.974346
D.melanogaster,143726002,NW_001844976.1,1,12142,8.44802e-05,140050942,0.97443
D.melanogaster,143726002,NW_001844977.1,1,12095,8.41532e-05,140063037,0.974514
D.melanogaster,143726002,NW_001844978.1,1,12034,8.37288e-05,140075071,0.974598
D.melanogaster,143726002,NW_001845008.1,1,12027,8.36801e-05,140087098,0.974682
D.melanogaster,143726002,NW_001845029.1,1,12002,8.35061e-05,140099100,0.974765
D.melanogaster,143726002,NW_001844979.1,1,12001,8.34992e-05,140111101,0.974849
D.melanogaster,143726002,NW_001844981.1,1,11985,8.33878e-05,140123086,0.974932
D.melanogaster,143726002,NW_007931077.1,1,11983,8.33739e-05,140135069,0.975015
D.melanogaster,143726002,NW_001844982.1,1,11958,8.32e-05,140147027,0.975099
D.melanogaster,143726002,NW_001844983.1,1,11951,8.31513e-05,140158978,0.975182
D.melanogaster,143726002,NW_001845030.1,1,11807,8.21494e-05,140170785,0.975264
D.melanogaster,143726002,NW_001845031.1,1,11763,8.18432e-05,140182548,0.975346
D.melanogaster,143726002,NW_001844984.1,1,11743,8.17041e-05,140194291,0.975427
D.melanogaster,143726002,NW_001845032.1,1,11569,8.04934e-05,140205860,0.975508
D.melanogaster,143726002,NW_001844987.1,1,11522,8.01664e-05,140217382,0.975588
D.melanogaster,143726002,NW_007931120.1,1,11498,7.99994e-05,140228880,0.975668
D.melanogaster,143726002,NW_001844989.1,1,11430,7.95263e-05,140240310,0.975748
D.melanogaster,143726002,NW_001844990.1,1,11220,7.80652e-05,140251530,0.975826
D.melanogaster,143726002,NW_001844991.1,1,11148,7.75643e-05,140262678,0.975903
D.melanogaster,143726002,NW_001844992.1,1,11126,7.74112e-05,140273804,0.975981
D.melanogaster,143726002,NW_007931102.1,1,10091,7.021e-05,140283895,0.976051
D.melanogaster,143726002,NW_001845033.1,1,9865,6.86375e-05,140293760,0.97612
D.melanogaster,143726002,NW_001845034.1,1,9368,6.51796e-05,140303128,0.976185
D.melanogaster,143726002,NW_001845035.1,1,9341,6.49917e-05,140312469,0.97625
D.melanogaster,143726002,NW_001845037.1,1,8346,5.80688e-05,140320815,0.976308
D.melanogaster,143726002,NW_001845038.1,1,8007,5.57102e-05,140328822,0.976363
D.melanogaster,143726002,NW_001845039.1,1,7722,5.37272e-05,140336544,0.976417
D.melanogaster,143726002,NW_001845040.1,1,7314,5.08885e-05,140343858,0.976468
D.melanogaster,143726002,NW_001845042.1,1,7123,4.95596e-05,140350981,0.976518
D.melanogaster,143726002,NW_001845043.1,1,7003,4.87247e-05,140357984,0.976566
D.melanogaster,143726002,NW_001845044.1,1,6936,4.82585e-05,140364920,0.976615
D.melanogaster,143726002,NW_001845046.1,1,6900,4.8008e-05,140371820,0.976663
D.melanogaster,143726002,NW_001845048.1,1,6860,4.77297e-05,140378680,0.97671
D.melanogaster,143726002,NW_001845047.1,1,6860,4.77297e-05,140385540,0.976758
D.melanogaster,143726002,NW_001845049.1,1,6825,4.74862e-05,140392365,0.976806
D.melanogaster,143726002,NW_001845051.1,1,6698,4.66026e-05,140399063,0.976852
D.melanogaster,143726002,NW_001845052.1,1,6546,4.5545e-05,140405609,0.976898
D.melanogaster,143726002,NW_001845056.1,1,6396,4.45013e-05,140412005,0.976942
D.melanogaster,143726002,NW_001845057.1,1,6294,4.37917e-05,140418299,0.976986
D.melanogaster,143726002,NW_001845058.1,1,6237,4.33951e-05,140424536,0.977029
D.melanogaster,143726002,NW_001845059.1,1,6193,4.30889e-05,140430729,0.977073
D.melanogaster,143726002,NW_001845061.1,1,6076,4.22749e-05,140436805,0.977115
D.melanogaster,143726002,NW_001845062.1,1,6062,4.21775e-05,140442867,0.977157
D.melanogaster,143726002,NW_001845063.1,1,6041,4.20314e-05,140448908,0.977199
D.melanogaster,143726002,NW_001845065.1,1,6000,4.17461e-05,140454908,0.977241
D.melanogaster,143726002,NW_001845067.1,1,5984,4.16348e-05,140460892,0.977282
D.melanogaster,143726002,NW_001845069.1,1,5968,4.15235e-05,140466860,0.977324
D.melanogaster,143726002,NW_001845070.1,1,5952,4.14121e-05,140472812,0.977365
D.melanogaster,143726002,NW_001845071.1,1,5915,4.11547e-05,140478727,0.977406
D.melanogaster,143726002,NW_001845072.1,1,5891,4.09877e-05,140484618,0.977447
D.melanogaster,143726002,NW_001845073.1,1,5832,4.05772e-05,140490450,0.977488
D.melanogaster,143726002,NW_001845074.1,1,5772,4.01597e-05,140496222,0.977528
D.melanogaster,143726002,NW_001845076.1,1,5698,3.96449e-05,140501920,0.977568
